 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
"220220 CAMPO MAIOR";15;-
"220225 CANAVIEIRA";3;1
"220230 CANTO DO BURITI";8;1
"220240 CAPITAO DE CAMPOS";3;-
"220245 CAPITAO GERVASIO OLIVEIRA";2;-
"220250 CARACOL";2;-
"220253 CARAUBAS DO PIAUI";1;-
"220255 CARIDADE DO PIAUI";4;-
"220260 CASTELO DO PIAUI";6;-
"220265 CAXINGO";1;-
"220270 COCAL";6;1
"220271 COCAL DE TELHA";1;-
"220272 COCAL DOS ALVES";1;-
"220273 COIVARAS";1;-
"220275 COLONIA DO GURGUEIA";2;-
"220277 COLONIA DO PIAUI";3;-
"220280 CONCEICAO DO CANINDE";1;-
"220285 CORONEL JOSE DIAS";-;-
"220290 CORRENTE";11;2
"220300 CRISTALANDIA DO PIAUI";3;1
"220310 CRISTINO CASTRO";4;3
"220320 CURIMATA";6;1
"220323 CURRAIS";5;-
"220325 CURRALINHOS";-;-
"220327 CURRAL NOVO DO PIAUI";-;1
"220330 DEMERVAL LOBAO";6;1
"220335 DIRCEU ARCOVERDE";-;-
"220340 DOM EXPEDITO LOPES";1;-
"220342 DOMINGOS MOURAO";1;-
"220345 DOM INOCENCIO";4;1
"220350 ELESBAO VELOSO";6;-
"220360 ELISEU MARTINS";3;-
"220370 ESPERANTINA";15;1
"220375 FARTURA DO PIAUI";-;-
"220380 FLORES DO PIAUI";4;1
"220385 FLORESTA DO PIAUI";-;-
"220390 FLORIANO";22;4
"220400 FRANCINOPOLIS";2;-
"220410 FRANCISCO AYRES";3;-
"220415 FRANCISCO MACEDO";-;-
"220420 FRANCISCO SANTOS";3;-
"220430 FRONTEIRAS";2;-
"220435 GEMINIANO";1;3
"220440 GILBUES";7;-
"220450 GUADALUPE";5;-
"220455 GUARIBAS";1;-
"220460 HUGO NAPOLEAO";3;1
"220465 ILHA GRANDE";2;-
"220470 INHUMA";4;-
"220480 IPIRANGA DO PIAUI";8;1
"220490 ISAIAS COELHO";3;-
"220500 ITAINOPOLIS";2;-
"220510 ITAUEIRA";3;-
"220515 JACOBINA DO PIAUI";-;-
"220520 JAICOS";8;-
"220525 JARDIM DO MULATO";1;-
"220527 JATOBA DO PIAUI";2;-
"220530 JERUMENHA";-;-
"220535 JOAO COSTA";1;-
"220540 JOAQUIM PIRES";9;-
"220545 JOCA MARQUES";4;-
"220550 JOSE DE FREITAS";9;-
"220551 JUAZEIRO DO PIAUI";2;-
"220552 JULIO BORGES";-;-
"220553 JUREMA";1;-
"220554 LAGOINHA DO PIAUI";1;-
"220555 LAGOA ALEGRE";2;-
"220556 LAGOA DO BARRO DO PIAUI";-;1
"220557 LAGOA DE SAO FRANCISCO";-;-
"220558 LAGOA DO PIAUI";2;-
"220559 LAGOA DO SITIO";1;-
"220560 LANDRI SALES";5;-
"220570 LUIS CORREIA";9;-
"220580 LUZILANDIA";13;1
"220585 MADEIRO";5;-
"220590 MANOEL EMIDIO";5;1
"220595 MARCOLANDIA";3;4
"220600 MARCOS PARENTE";2;1
"220605 MASSAPE DO PIAUI";4;-
"220610 MATIAS OLIMPIO";4;-
"220620 MIGUEL ALVES";19;-
"220630 MIGUEL LEAO";-;-
"220635 MILTON BRANDAO";3;-
"220640 MONSENHOR GIL";4;-
"220650 MONSENHOR HIPOLITO";3;1
"220660 MONTE ALEGRE DO PIAUI";4;-
"220665 MORRO CABECA NO TEMPO";1;-
"220667 MORRO DO CHAPEU DO PIAUI";3;-
"220669 MURICI DOS PORTELAS";-;1
"220670 NAZARE DO PIAUI";2;-
"220672 NAZARIA";2;1
"220675 NOSSA SENHORA DE NAZARE";2;1
"220680 NOSSA SENHORA DOS REMEDIOS";6;-
"220690 NOVO ORIENTE DO PIAUI";3;-
"220695 NOVO SANTO ANTONIO";-;-
"220700 OEIRAS";21;-
"220710 OLHO D'AGUA DO PIAUI";2;-
"220720 PADRE MARCOS";2;-
"220730 PAES LANDIM";-;-
"220735 PAJEU DO PIAUI";2;1
"220740 PALMEIRA DO PIAUI";5;1
"220750 PALMEIRAIS";6;1
"220755 PAQUETA";2;-
"220760 PARNAGUA";1;-
"220770 PARNAIBA";42;1
"220775 PASSAGEM FRANCA DO PIAUI";2;-
"220777 PATOS DO PIAUI";2;-
"220779 PAU D'ARCO DO PIAUI";-;-
"220780 PAULISTANA";10;3
"220785 PAVUSSU";-;-
"220790 PEDRO II";19;1
"220793 PEDRO LAURENTINO";-;-
"220795 NOVA SANTA RITA";-;1
"220800 PICOS";20;5
"220810 PIMENTEIRAS";7;-
"220820 PIO IX";10;-
"220830 PIRACURUCA";14;1
"220840 PIRIPIRI";19;4
"220850 PORTO";8;-
"220855 PORTO ALEGRE DO PIAUI";1;-
"220860 PRATA DO PIAUI";2;-
"220865 QUEIMADA NOVA";5;-
"220870 REDENCAO DO GURGUEIA";3;-
"220880 REGENERACAO";8;3
"220885 RIACHO FRIO";1;-
"220887 RIBEIRA DO PIAUI";1;-
"220890 RIBEIRO GONCALVES";1;-
"220900 RIO GRANDE DO PIAUI";3;-
"220910 SANTA CRUZ DO PIAUI";6;-
"220915 SANTA CRUZ DOS MILAGRES";-;-
"220920 SANTA FILOMENA";2;-
"220930 SANTA LUZ";3;-
"220935 SANTANA DO PIAUI";-;-
"220937 SANTA ROSA DO PIAUI";1;-
"220940 SANTO ANTONIO DE LISBOA";3;-
"220945 SANTO ANTONIO DOS MILAGRES";-;-
"220950 SANTO INACIO DO PIAUI";1;-
"220955 SAO BRAZ DO PIAUI";2;-
"220960 SAO FELIX DO PIAUI";1;1
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;-
"220970 SAO FRANCISCO DO PIAUI";4;-
"220975 SAO GONCALO DO GURGUEIA";1;-
"220980 SAO GONCALO DO PIAUI";2;-
"220985 SAO JOAO DA CANABRAVA";1;-
"220987 SAO JOAO DA FRONTEIRA";3;1
"220990 SAO JOAO DA SERRA";3;1
"220995 SAO JOAO DA VARJOTA";2;-
"220997 SAO JOAO DO ARRAIAL";3;1
"221000 SAO JOAO DO PIAUI";11;-
"221005 SAO JOSE DO DIVINO";-;-
"221010 SAO JOSE DO PEIXE";7;-
"221020 SAO JOSE DO PIAUI";2;-
"221030 SAO JULIAO";1;1
"221035 SAO LOURENCO DO PIAUI";-;-
"221037 SAO LUIS DO PIAUI";-;-
"221038 SAO MIGUEL DA BAIXA GRANDE";-;-
"221039 SAO MIGUEL DO FIDALGO";1;1
"221040 SAO MIGUEL DO TAPUIO";7;-
"221050 SAO PEDRO DO PIAUI";9;1
"221060 SAO RAIMUNDO NONATO";9;1
"221062 SEBASTIAO BARROS";3;-
"221063 SEBASTIAO LEAL";2;-
"221065 SIGEFREDO PACHECO";1;-
"221070 SIMOES";6;-
"221080 SIMPLICIO MENDES";7;1
"221090 SOCORRO DO PIAUI";3;-
"221093 SUSSUAPARA";-;-
"221095 TAMBORIL DO PIAUI";-;-
"221097 TANQUE DO PIAUI";3;-
"221100 TERESINA";182;33
"221110 UNIAO";10;2
"221120 URUCUI";10;-
"221130 VALENCA DO PIAUI";5;1
"221135 VARZEA BRANCA";2;-
"221140 VARZEA GRANDE";1;-
"221150 VERA MENDES";1;-
"221160 VILA NOVA DO PIAUI";3;-
"221170 WALL FERRAZ";1;-
" MUNICIPIO IGNORADO - CE";3;-
"230010 ABAIARA";5;-
"230015 ACARAPE";4;-
"230020 ACARAU";24;1
"230030 ACOPIARA";26;1
"230040 AIUABA";8;1
"230050 ALCANTARAS";4;-
"230060 ALTANEIRA";3;-
"230070 ALTO SANTO";2;-
"230075 AMONTADA";13;2
"230080 ANTONINA DO NORTE";1;-
"230090 APUIARES";4;-
"230100 AQUIRAZ";21;2
"230110 ARACATI";20;1
"230120 ARACOIABA";5;-
"230125 ARARENDA";2;1
"230130 ARARIPE";5;-
"230140 ARATUBA";3;-
"230150 ARNEIROZ";1;1
"230160 ASSARE";8;1
"230170 AURORA";7;-
"230180 BAIXIO";2;-
"230185 BANABUIU";6;-
"230190 BARBALHA";12;2
"230195 BARREIRA";5;1
"230200 BARRO";5;-
"230205 BARROQUINHA";3;1
"230210 BATURITE";10;1
"230220 BEBERIBE";8;-
"230230 BELA CRUZ";19;1
"230240 BOA VIAGEM";17;-
"230250 BREJO SANTO";11;-
"230260 CAMOCIM";35;1
"230270 CAMPOS SALES";14;1
"230280 CANINDE";16;3
"230290 CAPISTRANO";3;-
"230300 CARIDADE";1;-
"230310 CARIRE";12;-
"230320 CARIRIACU";7;-
"230330 CARIUS";7;-
"230340 CARNAUBAL";4;1
"230350 CASCAVEL";18;2
"230360 CATARINA";-;-
"230365 CATUNDA";6;-
"230370 CAUCAIA";94;13
"230380 CEDRO";15;-
"230390 CHAVAL";10;1
"230393 CHORO";-;-
"230395 CHOROZINHO";1;-
"230400 COREAU";10;1
"230410 CRATEUS";25;2
"230420 CRATO";51;3
"230423 CROATA";8;1
"230425 CRUZ";12;-
"230426 DEPUTADO IRAPUAN PINHEIRO";6;1
"230427 ERERE";1;1
"230428 EUSEBIO";15;-
"230430 FARIAS BRITO";9;1
"230435 FORQUILHA";10;1
"230440 FORTALEZA";541;45
"230445 FORTIM";3;1
"230450 FRECHEIRINHA";6;-
"230460 GENERAL SAMPAIO";3;-
"230465 GRACA";5;-
"230470 GRANJA";22;-
"230480 GRANJEIRO";2;-
"230490 GROAIRAS";2;-
"230495 GUAIUBA";8;2
"230500 GUARACIABA DO NORTE";15;2
"230510 GUARAMIRANGA";1;-
"230520 HIDROLANDIA";9;-
"230523 HORIZONTE";15;-
"230526 IBARETAMA";8;-
"230530 IBIAPINA";7;-
"230533 IBICUITINGA";1;-
"230535 ICAPUI";7;-
"230540 ICO";26;2
"230550 IGUATU";30;2
"230560 INDEPENDENCIA";10;-
"230565 IPAPORANGA";2;-
"230570 IPAUMIRIM";7;-
"230580 IPU";10;1
"230590 IPUEIRAS";15;-
"230600 IRACEMA";4;-
"230610 IRAUCUBA";9;-
"230620 ITAICABA";2;-
"230625 ITAITINGA";6;-
"230630 ITAPAGE";21;-
"230640 ITAPIPOCA";40;1
"230650 ITAPIUNA";7;-
"230655 ITAREMA";10;1
"230660 ITATIRA";4;-
"230670 JAGUARETAMA";11;-
"230680 JAGUARIBARA";5;-
"230690 JAGUARIBE";6;-
"230700 JAGUARUANA";8;5
"230710 JARDIM";6;-
"230720 JATI";4;-
"230725 JIJOCA DE JERICOACOARA";5;1
"230730 JUAZEIRO DO NORTE";77;6
"230740 JUCAS";12;-
"230750 LAVRAS DA MANGABEIRA";13;-
"230760 LIMOEIRO DO NORTE";18;-
"230763 MADALENA";7;2
"230765 MARACANAU";50;8
"230770 MARANGUAPE";28;6
"230780 MARCO";15;-
"230790 MARTINOPOLE";3;-
"230800 MASSAPE";17;3
"230810 MAURITI";11;-
"230820 MERUOCA";3;1
"230830 MILAGRES";7;-
"230835 MILHA";5;-
"230837 MIRAIMA";3;-
"230840 MISSAO VELHA";12;-
"230850 MOMBACA";13;-
"230860 MONSENHOR TABOSA";3;-
"230870 MORADA NOVA";26;3
"230880 MORAUJO";4;1
"230890 MORRINHOS";8;1
"230900 MUCAMBO";3;-
"230910 MULUNGU";1;1
"230920 NOVA OLINDA";7;1
"230930 NOVA RUSSAS";13;1
"230940 NOVO ORIENTE";10;3
"230945 OCARA";7;1
"230950 OROS";6;-
"230960 PACAJUS";18;1
"230970 PACATUBA";16;-
"230980 PACOTI";2;-
"230990 PACUJA";3;1
"231000 PALHANO";3;1
"231010 PALMACIA";3;-
"231020 PARACURU";6;1
"231025 PARAIPABA";9;-
"231030 PARAMBU";14;-
"231040 PARAMOTI";7;-
"231050 PEDRA BRANCA";13;3
"231060 PENAFORTE";2;-
"231070 PENTECOSTE";15;3
"231080 PEREIRO";7;-
"231085 PINDORETAMA";5;-
"231090 PIQUET CARNEIRO";5;-
"231095 PIRES FERREIRA";3;-
"231100 PORANGA";4;-
"231110 PORTEIRAS";2;-
"231120 POTENGI";1;-
"231123 POTIRETAMA";1;-
"231126 QUITERIANOPOLIS";10;-
"231130 QUIXADA";16;2
"231135 QUIXELO";5;1
"231140 QUIXERAMOBIM";15;3
"231150 QUIXERE";3;1
"231160 REDENCAO";8;-
"231170 RERIUTABA";7;-
"231180 RUSSAS";20;2
"231190 SABOEIRO";11;2
"231195 SALITRE";6;-
"231200 SANTANA DO ACARAU";6;-
"231210 SANTANA DO CARIRI";3;-
"231220 SANTA QUITERIA";16;-
"231230 SAO BENEDITO";17;2
"231240 SAO GONCALO DO AMARANTE";14;3
"231250 SAO JOAO DO JAGUARIBE";3;-
"231260 SAO LUIS DO CURU";1;-
"231270 SENADOR POMPEU";6;1
"231280 SENADOR SA";7;1
"231290 SOBRAL";70;2
"231300 SOLONOPOLE";3;-
"231310 TABULEIRO DO NORTE";4;-
"231320 TAMBORIL";9;-
"231325 TARRAFAS";3;1
"231330 TAUA";15;2
"231335 TEJUCUOCA";7;-
"231340 TIANGUA";26;2
"231350 TRAIRI";19;-
"231355 TURURU";3;-
"231360 UBAJARA";10;-
"231370 UMARI";3;-
"231375 UMIRIM";3;1
"231380 URUBURETAMA";11;-
"231390 URUOCA";4;1
"231395 VARJOTA";8;-
"231400 VARZEA ALEGRE";13;-
"231410 VICOSA DO CEARA";23;-
" MUNICIPIO IGNORADO - RN";1;-
"240010 ACARI";1;-
"240020 ACU";19;-
"240030 AFONSO BEZERRA";2;1
"240040 AGUA NOVA";-;-
"240050 ALEXANDRIA";4;-
"240060 ALMINO AFONSO";-;-
"240070 ALTO DO RODRIGUES";-;-
"240080 ANGICOS";4;-
"240090 ANTONIO MARTINS";-;-
"240100 APODI";5;1
"240110 AREIA BRANCA";3;-
"240120 ARES";3;-
"240130 AUGUSTO SEVERO";1;-
"240140 BAIA FORMOSA";2;-
"240145 BARAUNA";8;-
"240150 BARCELONA";1;-
"240160 BENTO FERNANDES";2;-
"240165 BODO";2;-
"240170 BOM JESUS";2;-
"240180 BREJINHO";2;-
"240185 CAICARA DO NORTE";1;-
"240190 CAICARA DO RIO DO VENTO";1;-
"240200 CAICO";13;1
"240210 CAMPO REDONDO";2;-
"240220 CANGUARETAMA";8;1
"240230 CARAUBAS";4;-
"240240 CARNAUBA DOS DANTAS";-;-
"240250 CARNAUBAIS";3;-
"240260 CEARA-MIRIM";20;1
"240270 CERRO CORA";3;-
"240280 CORONEL EZEQUIEL";-;-
"240290 CORONEL JOAO PESSOA";-;-
"240300 CRUZETA";3;-
"240310 CURRAIS NOVOS";5;-
"240320 DOUTOR SEVERIANO";1;-
"240325 PARNAMIRIM";32;-
"240330 ENCANTO";3;-
"240340 EQUADOR";-;-
"240350 ESPIRITO SANTO";2;-
"240360 EXTREMOZ";14;-
"240370 FELIPE GUERRA";-;-
"240375 FERNANDO PEDROZA";2;-
"240380 FLORANIA";2;-
"240390 FRANCISCO DANTAS";-;-
"240400 FRUTUOSO GOMES";1;-
"240410 GALINHOS";-;-
"240420 GOIANINHA";7;-
"240430 GOVERNADOR DIX-SEPT ROSADO";3;-
"240440 GROSSOS";4;-
"240450 GUAMARE";2;-
"240460 IELMO MARINHO";3;-
"240470 IPANGUACU";6;-
"240480 IPUEIRA";-;-
"240485 ITAJA";1;-
"240490 ITAU";4;-
"240500 JACANA";1;-
"240510 JANDAIRA";2;-
"240520 JANDUIS";-;-
"240530 JANUARIO CICCO";4;-
"240540 JAPI";-;-
"240550 JARDIM DE ANGICOS";-;-
"240560 JARDIM DE PIRANHAS";2;-
"240570 JARDIM DO SERIDO";-;-
"240580 JOAO CAMARA";6;1
"240590 JOAO DIAS";-;-
"240600 JOSE DA PENHA";-;-
"240610 JUCURUTU";1;-
"240615 JUNDIA";1;-
"240620 LAGOA D'ANTA";-;-
"240630 LAGOA DE PEDRAS";1;-
"240640 LAGOA DE VELHOS";-;-
"240650 LAGOA NOVA";6;-
"240660 LAGOA SALGADA";3;-
"240670 LAJES";2;-
"240680 LAJES PINTADAS";-;-
"240690 LUCRECIA";-;-
"240700 LUIS GOMES";1;-
"240710 MACAIBA";11;-
"240720 MACAU";2;1
"240725 MAJOR SALES";-;-
"240730 MARCELINO VIEIRA";-;-
"240740 MARTINS";2;-
"240750 MAXARANGUAPE";2;-
"240760 MESSIAS TARGINO";1;-
"240770 MONTANHAS";3;-
"240780 MONTE ALEGRE";-;-
"240790 MONTE DAS GAMELEIRAS";-;-
"240800 MOSSORO";65;2
"240810 NATAL";160;6
"240820 NISIA FLORESTA";5;-
"240830 NOVA CRUZ";7;-
"240840 OLHO-D'AGUA DO BORGES";1;-
"240850 OURO BRANCO";1;-
"240860 PARANA";1;-
"240870 PARAU";2;-
"240880 PARAZINHO";-;-
"240890 PARELHAS";2;-
"240895 RIO DO FOGO";2;-
"240910 PASSA E FICA";1;-
"240920 PASSAGEM";2;-
"240930 PATU";1;-
"240933 SANTA MARIA";-;-
"240940 PAU DOS FERROS";4;-
"240950 PEDRA GRANDE";2;-
"240960 PEDRA PRETA";1;-
"240970 PEDRO AVELINO";1;-
"240980 PEDRO VELHO";4;-
"240990 PENDENCIAS";3;-
"241000 PILOES";1;-
"241010 POCO BRANCO";4;-
"241020 PORTALEGRE";2;-
"241025 PORTO DO MANGUE";-;-
"241030 SERRA CAIADA";1;-
"241040 PUREZA";2;-
"241050 RAFAEL FERNANDES";2;-
"241060 RAFAEL GODEIRO";-;-
"241070 RIACHO DA CRUZ";2;-
"241080 RIACHO DE SANTANA";-;-
"241090 RIACHUELO";1;-
"241100 RODOLFO FERNANDES";1;-
"241105 TIBAU";-;-
"241110 RUY BARBOSA";4;-
"241120 SANTA CRUZ";2;-
"241140 SANTANA DO MATOS";2;-
"241142 SANTANA DO SERIDO";-;-
"241150 SANTO ANTONIO";9;-
"241160 SAO BENTO DO NORTE";1;-
"241170 SAO BENTO DO TRAIRI";1;-
"241180 SAO FERNANDO";2;-
"241190 SAO FRANCISCO DO OESTE";-;-
"241200 SAO GONCALO DO AMARANTE";23;1
"241210 SAO JOAO DO SABUGI";1;-
"241220 SAO JOSE DE MIPIBU";8;-
"241230 SAO JOSE DO CAMPESTRE";1;-
"241240 SAO JOSE DO SERIDO";1;-
"241250 SAO MIGUEL";7;-
"241255 SAO MIGUEL DO GOSTOSO";3;-
"241260 SAO PAULO DO POTENGI";3;-
"241270 SAO PEDRO";2;-
"241280 SAO RAFAEL";1;-
"241290 SAO TOME";1;-
"241300 SAO VICENTE";3;-
"241310 SENADOR ELOI DE SOUZA";2;-
"241320 SENADOR GEORGINO AVELINO";1;-
"241330 SERRA DE SAO BENTO";3;-
"241335 SERRA DO MEL";2;-
"241340 SERRA NEGRA DO NORTE";2;-
"241350 SERRINHA";-;-
"241355 SERRINHA DOS PINTOS";-;-
"241360 SEVERIANO MELO";1;-
"241370 SITIO NOVO";1;-
"241380 TABOLEIRO GRANDE";-;-
"241390 TAIPU";1;-
"241400 TANGARA";6;-
"241410 TENENTE ANANIAS";3;-
"241415 TENENTE LAURENTINO CRUZ";1;-
"241420 TIBAU DO SUL";2;-
"241430 TIMBAUBA DOS BATISTAS";1;-
"241440 TOUROS";9;-
"241445 TRIUNFO POTIGUAR";1;-
"241450 UMARIZAL";3;-
"241460 UPANEMA";4;-
"241470 VARZEA";-;-
"241475 VENHA-VER";1;-
"241480 VERA CRUZ";3;-
"241490 VICOSA";1;-
"241500 VILA FLOR";1;-
" MUNICIPIO IGNORADO - PB";1;-
"250010 AGUA BRANCA";4;-
"250020 AGUIAR";1;-
"250030 ALAGOA GRANDE";10;-
"250040 ALAGOA NOVA";6;1
"250050 ALAGOINHA";3;-
"250053 ALCANTIL";1;1
"250057 ALGODAO DE JANDAIRA";1;-
"250060 ALHANDRA";5;-
"250070 SAO JOAO DO RIO DO PEIXE";6;-
"250073 AMPARO";2;-
"250077 APARECIDA";1;-
"250080 ARACAGI";1;-
"250090 ARARA";2;-
"250100 ARARUNA";4;-
"250110 AREIA";7;1
"250115 AREIA DE BARAUNAS";-;-
"250120 AREIAL";5;-
"250130 AROEIRAS";4;2
"250135 ASSUNCAO";2;-
"250140 BAIA DA TRAICAO";2;-
"250150 BANANEIRAS";7;-
"250153 BARAUNA";1;-
"250157 BARRA DE SANTANA";4;-
"250160 BARRA DE SANTA ROSA";4;-
"250170 BARRA DE SAO MIGUEL";2;-
"250180 BAYEUX";14;3
"250190 BELEM";4;-
"250200 BELEM DO BREJO DO CRUZ";-;-
"250205 BERNARDINO BATISTA";1;1
"250210 BOA VENTURA";2;-
"250215 BOA VISTA";2;-
"250220 BOM JESUS";-;-
"250230 BOM SUCESSO";-;-
"250240 BONITO DE SANTA FE";2;-
"250250 BOQUEIRAO";2;-
"250260 IGARACY";2;-
"250270 BORBOREMA";3;-
"250280 BREJO DO CRUZ";3;-
"250290 BREJO DOS SANTOS";-;-
"250300 CAAPORA";4;-
"250310 CABACEIRAS";-;-
"250320 CABEDELO";10;1
"250330 CACHOEIRA DOS INDIOS";-;-
"250340 CACIMBA DE AREIA";-;-
"250350 CACIMBA DE DENTRO";7;1
"250355 CACIMBAS";4;-
"250360 CAICARA";1;1
"250370 CAJAZEIRAS";11;-
"250375 CAJAZEIRINHAS";1;-
"250380 CALDAS BRANDAO";2;-
"250390 CAMALAU";-;-
"250400 CAMPINA GRANDE";75;3
"250403 CAPIM";-;-
"250407 CARAUBAS";-;-
"250410 CARRAPATEIRA";1;-
"250415 CASSERENGUE";2;-
"250420 CATINGUEIRA";1;-
"250430 CATOLE DO ROCHA";5;-
"250435 CATURITE";-;-
"250440 CONCEICAO";4;1
"250450 CONDADO";1;-
"250460 CONDE";5;-
"250470 CONGO";-;-
"250480 COREMAS";3;-
"250485 COXIXOLA";-;-
"250490 CRUZ DO ESPIRITO SANTO";5;-
"250500 CUBATI";1;-
"250510 CUITE";4;-
"250520 CUITEGI";2;-
"250523 CUITE DE MAMANGUAPE";2;-
"250527 CURRAL DE CIMA";2;-
"250530 CURRAL VELHO";-;-
"250535 DAMIAO";1;-
"250540 DESTERRO";6;-
"250550 VISTA SERRANA";1;1
"250560 DIAMANTE";1;-
"250570 DONA INES";3;-
"250580 DUAS ESTRADAS";-;-
"250590 EMAS";-;-
"250600 ESPERANCA";8;-
"250610 FAGUNDES";2;-
"250620 FREI MARTINHO";1;-
"250625 GADO BRAVO";1;-
"250630 GUARABIRA";10;-
"250640 GURINHEM";3;1
"250650 GURJAO";-;-
"250660 IBIARA";-;-
"250670 IMACULADA";3;1
"250680 INGA";5;-
"250690 ITABAIANA";3;-
"250700 ITAPORANGA";6;-
"250710 ITAPOROROCA";1;-
"250720 ITATUBA";4;-
"250730 JACARAU";3;-
"250740 JERICO";-;-
"250750 JOAO PESSOA";137;12
"250760 JUAREZ TAVORA";1;1
"250770 JUAZEIRINHO";6;-
"250780 JUNCO DO SERIDO";1;-
"250790 JURIPIRANGA";5;1
"250800 JURU";-;2
"250810 LAGOA";2;-
"250820 LAGOA DE DENTRO";2;-
"250830 LAGOA SECA";8;-
"250840 LASTRO";-;-
"250850 LIVRAMENTO";1;-
"250855 LOGRADOURO";1;-
"250860 LUCENA";1;1
"250870 MAE D'AGUA";-;-
"250880 MALTA";-;-
"250890 MAMANGUAPE";10;-
"250900 MANAIRA";2;-
"250905 MARCACAO";1;-
"250910 MARI";3;-
"250915 MARIZOPOLIS";-;-
"250920 MASSARANDUBA";3;1
"250930 MATARACA";3;-
"250933 MATINHAS";1;-
"250937 MATO GROSSO";2;-
"250939 MATUREIA";4;-
"250940 MOGEIRO";3;-
"250950 MONTADAS";2;-
"250960 MONTE HOREBE";-;-
"250970 MONTEIRO";4;-
"250980 MULUNGU";2;-
"250990 NATUBA";3;1
"251000 NAZAREZINHO";2;-
"251010 NOVA FLORESTA";3;-
"251020 NOVA OLINDA";2;-
"251030 NOVA PALMEIRA";1;-
"251040 OLHO D'AGUA";2;-
"251050 OLIVEDOS";-;-
"251060 OURO VELHO";-;-
"251065 PARARI";-;-
"251070 PASSAGEM";1;-
"251080 PATOS";20;2
"251090 PAULISTA";2;-
"251100 PEDRA BRANCA";-;-
"251110 PEDRA LAVRADA";2;-
"251120 PEDRAS DE FOGO";9;-
"251130 PIANCO";3;-
"251140 PICUI";4;-
"251150 PILAR";4;-
"251160 PILOES";1;-
"251170 PILOEZINHOS";1;-
"251180 PIRPIRITUBA";1;-
"251190 PITIMBU";3;-
"251200 POCINHOS";5;-
"251203 POCO DANTAS";2;1
"251207 POCO DE JOSE DE MOURA";2;-
"251210 POMBAL";3;-
"251220 PRATA";-;-
"251230 PRINCESA ISABEL";4;-
"251240 PUXINANA";2;-
"251250 QUEIMADAS";9;1
"251260 QUIXABA";1;1
"251270 REMIGIO";4;-
"251272 PEDRO REGIS";-;-
"251274 RIACHAO";-;-
"251275 RIACHAO DO BACAMARTE";1;-
"251276 RIACHAO DO POCO";1;-
"251278 RIACHO DE SANTO ANTONIO";1;-
"251280 RIACHO DOS CAVALOS";3;-
"251290 RIO TINTO";5;1
"251300 SALGADINHO";-;-
"251310 SALGADO DE SAO FELIX";1;-
"251315 SANTA CECILIA";-;-
"251320 SANTA CRUZ";2;-
"251330 SANTA HELENA";-;-
"251335 SANTA INES";1;-
"251340 SANTA LUZIA";2;-
"251350 SANTANA DE MANGUEIRA";1;-
"251360 SANTANA DOS GARROTES";-;1
"251365 JOCA CLAUDINO";1;-
"251370 SANTA RITA";30;1
"251380 SANTA TERESINHA";-;-
"251385 SANTO ANDRE";1;-
"251390 SAO BENTO";5;-
"251392 SAO BENTINHO";-;1
"251394 SAO DOMINGOS DO CARIRI";-;-
"251396 SAO DOMINGOS";2;-
"251398 SAO FRANCISCO";1;-
"251400 SAO JOAO DO CARIRI";-;-
"251410 SAO JOAO DO TIGRE";1;1
"251420 SAO JOSE DA LAGOA TAPADA";-;1
"251430 SAO JOSE DE CAIANA";3;-
"251440 SAO JOSE DE ESPINHARAS";-;-
"251445 SAO JOSE DOS RAMOS";-;-
"251450 SAO JOSE DE PIRANHAS";5;-
"251455 SAO JOSE DE PRINCESA";1;-
"251460 SAO JOSE DO BONFIM";-;-
"251465 SAO JOSE DO BREJO DO CRUZ";-;-
"251470 SAO JOSE DO SABUGI";-;-
"251480 SAO JOSE DOS CORDEIROS";2;-
"251490 SAO MAMEDE";2;-
"251500 SAO MIGUEL DE TAIPU";2;-
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-
"251530 SAPE";8;1
"251540 SAO VICENTE DO SERIDO";4;-
"251550 SERRA BRANCA";2;-
"251560 SERRA DA RAIZ";-;-
"251570 SERRA GRANDE";-;-
"251580 SERRA REDONDA";1;-
"251590 SERRARIA";1;-
"251593 SERTAOZINHO";-;-
"251597 SOBRADO";1;-
"251600 SOLANEA";5;1
"251610 SOLEDADE";4;-
"251615 SOSSEGO";-;-
"251620 SOUSA";6;-
"251630 SUME";2;-
"251640 TACIMA";-;-
"251650 TAPEROA";5;-
"251660 TAVARES";2;-
"251670 TEIXEIRA";2;1
"251675 TENORIO";1;-
"251680 TRIUNFO";1;-
"251690 UIRAUNA";2;-
"251700 UMBUZEIRO";5;-
"251710 VARZEA";2;-
"251720 VIEIROPOLIS";-;-
"251740 ZABELE";1;1
" MUNICIPIO IGNORADO - PE";2;-
"260005 ABREU E LIMA";14;1
"260010 AFOGADOS DA INGAZEIRA";3;1
"260020 AFRANIO";4;-
"260030 AGRESTINA";4;-
"260040 AGUA PRETA";8;-
"260050 AGUAS BELAS";18;1
"260060 ALAGOINHA";4;-
"260070 ALIANCA";12;-
"260080 ALTINHO";4;-
"260090 AMARAJI";3;-
